actor_name,actor_id,movie_id,relevance
Kazumi Nozaki,12329615,tt0095327,7
Yoshio Matsuoka,4410046,tt0095327,8
Masahiro Kanetake,12329616,tt0095327,9
Kiyoshi Yanagawa,6979973,tt0095327,10
Stephen Baldwin,0000286,tt0114814,1
Gabriel Byrne,0000321,tt0114814,2
Benicio Del Toro,0001125,tt0114814,3
Kevin Pollak,0001629,tt0114814,4
Kevin Spacey,0000228,tt0114814,5
Chazz Palminteri,0001590,tt0114814,6
Pete Postlethwaite,0000592,tt0114814,7
Suzy Amis,0000751,tt0114814,8
Giancarlo Esposito,0002064,tt0114814,9
Dan Hedaya,0000445,tt0114814,10
Rowan Atkinson,0000100,tt0110357,1
Matthew Broderick,0000111,tt0110357,2
Niketa Calame-Harris,0129295,tt0110357,3
Jim Cummings,0191906,tt0110357,4
Whoopi Goldberg,0000155,tt0110357,5
Robert Guillaume,0347039,tt0110357,6
Jeremy Irons,0000460,tt0110357,7
James Earl Jones,0000469,tt0110357,8
Moira Kelly,0446702,tt0110357,9
Nathan Lane,0001447,tt0110357,10
Miles Teller,1886602,tt2582802,1
J.K. Simmons,0799777,tt2582802,2
Paul Reiser,0001663,tt2582802,3
Melissa Benoist,2552034,tt2582802,4
Austin Stowell,3271473,tt2582802,5
Nate Lang,4336119,tt2582802,6
Chris Mulkey,0611889,tt2582802,7
Damon Gupton,0348515,tt2582802,8
Suanne Spoke,0819320,tt2582802,9
Max Kasch,1045739,tt2582802,10
Russell Crowe,0000128,tt0172495,1
Joaquin Phoenix,0001618,tt0172495,2
Connie Nielsen,0001567,tt0172495,3
Oliver Reed,0001657,tt0172495,4
Richard Harris,0001321,tt0172495,5
Derek Jacobi,0001394,tt0172495,6
Djimon Hounsou,0005023,tt0172495,7
David Schofield,0774516,tt0172495,8
John Shrapnel,0795344,tt0172495,9
Tomas Arana,0032962,tt0172495,10
Arnold Schwarzenegger,0000216,tt0103064,1
Linda Hamilton,0000157,tt0103064,2
Edward Furlong,0000411,tt0103064,3
Robert Patrick,0001598,tt0103064,4
Earl Boen,0091286,tt0103064,5
Joe Morton,0608012,tt0103064,6
S. Epatha Merkerson,0580924,tt0103064,7
Castulo Guerra,0346003,tt0103064,8
Danny Cooksey,0177528,tt0103064,9
Jenette Goldstein,0001280,tt0103064,10
Adrien Brody,0004778,tt0253474,1
Emilia Fox,0288976,tt0253474,2
Michal Zebrowski,0954076,tt0253474,3
Ed Stoppard,0832380,tt0253474,4
Maureen Lipman,0513520,tt0253474,5
Frank Finlay,0277975,tt0253474,6
Jessica Kate Meyer,0962577,tt0253474,7
Julia Rayner,0713469,tt0253474,8
Wanja Mues,0611148,tt0253474,9
Richard Ridings,0725956,tt0253474,10
Leonardo DiCaprio,0000138,tt0407887,1
Matt Damon,0000354,tt0407887,2
Jack Nicholson,0000197,tt0407887,3
Mark Wahlberg,0000242,tt0407887,4
Martin Sheen,0000640,tt0407887,5
Ray Winstone,0935653,tt0407887,6
Vera Farmiga,0267812,tt0407887,7
Anthony Anderson,0026364,tt0407887,8
Alec Baldwin,0000285,tt0407887,9
Kevin Corrigan,0180984,tt0407887,10
Michael J. Fox,0000150,tt0088763,1
Christopher Lloyd,0000502,tt0088763,2
Lea Thompson,0000670,tt0088763,3
Crispin Glover,0000417,tt0088763,4
Thomas F. Wilson,0001855,tt0088763,5
Claudia Wells,0920148,tt0088763,6
Marc McClure,0566013,tt0088763,7
Wendie Jo Sperber,0818274,tt0088763,8
George DiCenzo,0225191,tt0088763,9
Frances Lee McCain,0564589,tt0088763,10
Ryûnosuke Kamiki,1126340,tt5311514,1
Mone Kamishiraishi,4759838,tt5311514,2
Ryô Narita,6954008,tt5311514,3
Aoi Yûki,2976492,tt5311514,4
Nobunaga Shimazaki,4858403,tt5311514,5
Kaito Ishikawa,5481013,tt5311514,6
Kanon Tani,4411190,tt5311514,7
Masaki Terasoma,1111054,tt5311514,8
Sayaka Ôhara,1360441,tt5311514,9
Kazuhiko Inoue,0409287,tt5311514,10
Jack Nicholson,0000197,tt0081505,1
Shelley Duvall,0001167,tt0081505,2
Danny Lloyd,0515950,tt0081505,3
Scatman Crothers,0001079,tt0081505,4
Barry Nelson,0625167,tt0081505,5
Philip Stone,0832104,tt0081505,6
Joe Turkel,0877185,tt0081505,7
Anne Jackson,0413271,tt0081505,8
Tony Burton,0123748,tt0081505,9
Lia Beldam,0067672,tt0081505,10
Robert Downey Jr.,0000375,tt4154756,1
Chris Hemsworth,1165110,tt4154756,2
Mark Ruffalo,0749263,tt4154756,3
Chris Evans,0262635,tt4154756,4
Scarlett Johansson,0424060,tt4154756,5
Don Cheadle,0000332,tt4154756,6
Benedict Cumberbatch,1212722,tt4154756,7
Tom Holland,4043618,tt4154756,8
Chadwick Boseman,1569276,tt4154756,9
Zoe Saldana,0757855,tt4154756,10
Choi Min-sik,0158856,tt0364569,1
Yoo Ji-Tae,0949167,tt0364569,2
Kang Hye-jeong,1367246,tt0364569,3
Kim Byeong-Ok,1366028,tt0364569,4
Dae-han Ji,1203041,tt0364569,5
Dal-su Oh,1367681,tt0364569,6
Seung-shin Lee,1800416,tt0364569,7
Jin-Seo Yoon,1517134,tt0364569,8
Tae-kyung Oh,0644905,tt0364569,9
Yoo Yeon-Seok,1881661,tt0364569,10
Anthony Gonzalez,5645519,tt2380307,1
Gael García Bernal,0305558,tt2380307,2
Benjamin Bratt,0000973,tt2380307,3
Alanna Ubach,0005513,tt2380307,4
Renee Victor,0896149,tt2380307,5
Jaime Camil,0131781,tt2380307,6
Alfonso Arau,0000778,tt2380307,7
Herbert Siguenza,0797567,tt2380307,8
Gabriel Iglesias,0407101,tt2380307,9
Lombardo Boyar,0101603,tt2380307,10
Shameik Moore,4271336,tt4633694,1
Jake Johnson,2159926,tt4633694,2
Hailee Steinfeld,2794962,tt4633694,3
Mahershala Ali,0991810,tt4633694,4
Brian Tyree Henry,3109964,tt4633694,5
Lily Tomlin,0005499,tt4633694,6
Luna Lauren Velez,0904967,tt4633694,7
Zoë Kravitz,2368789,tt4633694,8
John Mulaney,1825214,tt4633694,9
Kimiko Glenn,4733752,tt4633694,10
Jamie Foxx,0004937,tt1853728,1
Christoph Waltz,0910607,tt1853728,2
Leonardo DiCaprio,0000138,tt1853728,3
Kerry Washington,0913488,tt1853728,4
Samuel L. Jackson,0000168,tt1853728,5
Walton Goggins,0324658,tt1853728,6
Dennis Christopher,0160550,tt1853728,7
James Remar,0001664,tt1853728,8
David Steen,0824741,tt1853728,9
Dana Gourrier,4158239,tt1853728,10
Marlon Brando,0000008,tt0078788,1
Martin Sheen,0000640,tt0078788,2
Robert Duvall,0000380,tt0078788,3
Frederic Forrest,0002078,tt0078788,4
Sam Bottoms,0098734,tt0078788,5
Laurence Fishburne,0000401,tt0078788,6
Albert Hall,0355278,tt0078788,7
Harrison Ford,0000148,tt0078788,8
Dennis Hopper,0000454,tt0078788,9
G.D. Spradlin,0819525,tt0078788,10
Tom Skerritt,0000643,tt0078748,1
Sigourney Weaver,0000244,tt0078748,2
Veronica Cartwright,0001021,tt0078748,3
Harry Dean Stanton,0001765,tt0078748,4
John Hurt,0000457,tt0078748,5
Ian Holm,0000453,tt0078748,6
Yaphet Kotto,0001433,tt0078748,7
Bolaji Badejo,0045993,tt0078748,8
Helen Horton,0395600,tt0078748,9
Eddie Powell,0694101,tt0078748,10
Darsheel Safary,2594301,tt0986264,1
Aamir Khan,0451148,tt0986264,2
Tisca Chopra,1538116,tt0986264,3
Vipin Sharma,1479650,tt0986264,4
Sachet Engineer,3222518,tt0986264,5
Tanay Chheda,2540053,tt0986264,6
Lalitha Lajmi,2896015,tt0986264,7
Girija Oak,2887354,tt0986264,8
Ravi Khanvilkar,1334512,tt0986264,9
Pratima Kulkarni,3220980,tt0986264,10
Ben Burtt,0123785,tt0910970,1
Elissa Knight,2264184,tt0910970,2
Jeff Garlin,0307531,tt0910970,3
Fred Willard,0929609,tt0910970,4
MacInTalk,3050831,tt0910970,5
John Ratzenberger,0001652,tt0910970,6
Kathy Najimy,0001562,tt0910970,7
Sigourney Weaver,0000244,tt0910970,8
Teddy Newton,0628599,tt0910970,9
Bob Bergen,0074036,tt0910970,10
Joaquin Phoenix,0001618,tt7286456,1
Robert De Niro,0000134,tt7286456,2
Zazie Beetz,5939164,tt7286456,3
Frances Conroy,0175814,tt7286456,4
Brett Cullen,0191442,tt7286456,5
Shea Whigham,0924154,tt7286456,6
Bill Camp,0131966,tt7286456,7
Glenn Fleshler,0281909,tt7286456,8
Leigh Gill,5279916,tt7286456,9
Josh Pais,0656929,tt7286456,10
Audrey Tautou,0851582,tt0211915,1
Mathieu Kassovitz,0440913,tt0211915,2
Rufus,0749363,tt0211915,3
Lorella Cravotta,0186677,tt0211915,4
Serge Merlin,0581014,tt0211915,5
Jamel Debbouze,0213354,tt0211915,6
Clotilde Mollet,0597042,tt0211915,7
Claire Maurier,0561158,tt0211915,8
Isabelle Nanty,0620964,tt0211915,9
Dominique Pinon,0684500,tt0211915,10
Robert De Niro,0000134,tt0087843,1
James Woods,0000249,tt0087843,2
Elizabeth McGovern,0001527,tt0087843,3
Treat Williams,0001852,tt0087843,4
Tuesday Weld,0001839,tt0087843,5
Burt Young,0949350,tt0087843,6
Joe Pesci,0000582,tt0087843,7
Danny Aiello,0000732,tt0087843,8
William Forsythe,0001235,tt0087843,9
James Hayden,0370747,tt0087843,10
Sigourney Weaver,0000244,tt0090605,1
Carrie Henn,0001343,tt0090605,2
Michael Biehn,0000299,tt0090605,3
Paul Reiser,0001663,tt0090605,4
Lance Henriksen,0000448,tt0090605,5
Bill Paxton,0000200,tt0090605,6
William Hope,0394054,tt0090605,7
Jenette Goldstein,0001280,tt0090605,8
Al Matthews,0559922,tt0090605,9
Mark Rolston,0001679,tt0090605,10
Kevin Spacey,0000228,tt0169547,1
Annette Bening,0000906,tt0169547,2
Thora Birch,0000301,tt0169547,3
Wes Bentley,0004747,tt0169547,4
Mena Suvari,0002546,tt0169547,5
Peter Gallagher,0001251,tt0169547,6
Allison Janney,0005049,tt0169547,7
Chris Cooper,0177933,tt0169547,8
Scott Bakula,0000836,tt0169547,9
Sam Robards,0730168,tt0169547,10
Tom Hanks,0000158,tt0114709,1
Tim Allen,0000741,tt0114709,2
Don Rickles,0725543,tt0114709,3
Jim Varney,0001815,tt0114709,4
Wallace Shawn,0001728,tt0114709,5
John Ratzenberger,0001652,tt0114709,6
Annie Potts,0001633,tt0114709,7
John Morris,0606658,tt0114709,8
Erik von Detten,0902184,tt0114709,9
Laurie Metcalf,0582418,tt0114709,10
Matt Damon,0000354,tt0119217,1
Ben Affleck,0000255,tt0119217,2
Stellan Skarsgård,0001745,tt0119217,3
John Mighton,0585906,tt0119217,4
Rachel Majorowski,0538259,tt0119217,5
Colleen McCauley,0565494,tt0119217,6
Casey Affleck,0000729,tt0119217,7
Cole Hauser,0369513,tt0119217,8
Matt Mercier,0580436,tt0119217,9
Ralph St. George,0820538,tt0119217,10
F. Murray Abraham,0000719,tt0086879,1
Tom Hulce,0001371,tt0086879,2
Elizabeth Berridge,0000931,tt0086879,3
Roy Dotrice,0234541,tt0086879,4
Simon Callow,0001003,tt0086879,5
Christine Ebersole,0002056,tt0086879,6
Jeffrey Jones,0000470,tt0086879,7
Charles Kay,0443016,tt0086879,8
Kenneth McMillan,0573299,tt0086879,9
Kenny Baker,0048652,tt0086879,10
Al Pacino,0000199,tt0086250,1
Steven Bauer,0000874,tt0086250,2
Michelle Pfeiffer,0000201,tt0086250,3
Mary Elizabeth Mastrantonio,0001512,tt0086250,4
Robert Loggia,0005162,tt0086250,5
Miriam Colon,0173125,tt0086250,6
F. Murray Abraham,0000719,tt0086250,7
Paul Shenar,0791502,tt0086250,8
Harris Yulin,0950867,tt0086250,9
Ángel Salazar,0757774,tt0086250,10
Dean-Charles Chapman,2835616,tt8579674,1
George MacKay,1126657,tt8579674,2
Daniel Mays,0990547,tt8579674,3
Colin Firth,0000147,tt8579674,4
Pip Carter,2553988,tt8579674,5
Andy Apollo,5121393,tt8579674,6
Paul Tinto,4078775,tt8579674,7
Josef Davies,6919812,tt8579674,8
Billy Postlethwaite,5037475,tt8579674,9
Gabriel Akuwudike,9419368,tt8579674,10
Harvey Keitel,0000172,tt0105236,1
Tim Roth,0000619,tt0105236,2
Michael Madsen,0000514,tt0105236,3
Chris Penn,0001606,tt0105236,4
Steve Buscemi,0000114,tt0105236,5
Lawrence Tierney,0862937,tt0105236,6
Randy Brooks,0112207,tt0105236,7
Kirk Baltz,0051257,tt0105236,8
Edward Bunker,0120483,tt0105236,9
Quentin Tarantino,0000233,tt0105236,10
Jim Carrey,0000120,tt0338013,1
Kate Winslet,0000701,tt0338013,2
Gerry Robert Byrne,0004423,tt0338013,3
Elijah Wood,0000704,tt0338013,4
Thomas Jay Ryan,0752876,tt0338013,5
Mark Ruffalo,0749263,tt0338013,6
Jane Adams,0011038,tt0338013,7
David Cross,0189144,tt0338013,8
Kirsten Dunst,0000379,tt0338013,9
Tom Wilkinson,0929489,tt0338013,10
Brad Pitt,0000093,tt0361748,1
Mélanie Laurent,0491259,tt0361748,2
Christoph Waltz,0910607,tt0361748,3
Eli Roth,0744834,tt0361748,4
Michael Fassbender,1055413,tt0361748,5
Diane Kruger,1208167,tt0361748,6
Daniel Brühl,0117709,tt0361748,7
Til Schweiger,0001709,tt0361748,8
Gedeon Burkhard,0121972,tt0361748,9
Jacky Ido,1784515,tt0361748,10
James Robinson,0732703,tt0112573,1
Sean Lawlor,0492566,tt0112573,2
Sandy Nelson,0625729,tt0112573,3
James Cosmo,0181920,tt0112573,4
Sean McGinley,0569336,tt0112573,5
Alan Tall,0848100,tt0112573,6
Andrew Weir,0918571,tt0112573,7
Gerda Stevenson,0828941,tt0112573,8
Ralph Riach,0722661,tt0112573,9
Mhairi Calvey,0130860,tt0112573,10
Leonardo DiCaprio,0000138,tt1130884,1
Mark Ruffalo,0749263,tt1130884,2
Ben Kingsley,0001426,tt1130884,3
Max von Sydow,0001884,tt1130884,4
Michelle Williams,0931329,tt1130884,5
Emily Mortimer,0607865,tt1130884,6
Patricia Clarkson,0165101,tt1130884,7
Jackie Earle Haley,0355097,tt1130884,8
Ted Levine,0505971,tt1130884,9
John Carroll Lynch,0002253,tt1130884,10
Tom Hanks,0000158,tt0435761,1
Tim Allen,0000741,tt0435761,2
Joan Cusack,0000349,tt0435761,3
Ned Beatty,0000885,tt0435761,4
Don Rickles,0725543,tt0435761,5
Michael Keaton,0000474,tt0435761,6
Wallace Shawn,0001728,tt0435761,7
John Ratzenberger,0001652,tt0435761,8
Estelle Harris,0364680,tt0435761,9
John Morris,0606658,tt0435761,10
Bruce Willis,0000246,tt0095016,1
Bonnie Bedelia,0000889,tt0095016,2
Reginald VelJohnson,0001817,tt0095016,3
Paul Gleason,0322339,tt0095016,4
De'voreaux White,0924636,tt0095016,5
William Atherton,0040472,tt0095016,6
Hart Bochner,0000952,tt0095016,7
James Shigeta,0793363,tt0095016,8
Alan Rickman,0000614,tt0095016,9
Alexander Godunov,0324231,tt0095016,10
Diahnne Abbott,0007958,tt0075314,1
Frank Adu,0012524,tt0075314,2
Victor Argo,0034519,tt0075314,3
Gino Ardito,0034082,tt0075314,4
Garth Avery,0043039,tt0075314,5
Peter Boyle,0001967,tt0075314,6
Albert Brooks,0000983,tt0075314,7
Harry Cohn,0169903,tt0075314,8
Copper Cunningham,0192276,tt0075314,9
Robert De Niro,0000134,tt0075314,10
Ed Asner,0000799,tt1049413,1
Christopher Plummer,0001626,tt1049413,2
Jordan Nagai,2973712,tt1049413,3
Bob Peterson,0677037,tt1049413,4
Delroy Lindo,0005148,tt1049413,5
Jerome Ranft,0710019,tt1049413,6
John Ratzenberger,0001652,tt1049413,7
David Kaye,0443286,tt1049413,8
Elie Docter,3423667,tt1049413,9
Jeremy Leary,3422941,tt1049413,10
Leonardo DiCaprio,0000138,tt0993846,1
Jonah Hill,1706767,tt0993846,2
Margot Robbie,3053338,tt0993846,3
Matthew McConaughey,0000190,tt0993846,4
Kyle Chandler,0151419,tt0993846,5
Rob Reiner,0001661,tt0993846,6
Jon Bernthal,1256532,tt0993846,7
Jon Favreau,0269463,tt0993846,8
Jean Dujardin,0241121,tt0993846,9
Joanna Lumley,0525921,tt0993846,10
Jack Nicholson,0000197,tt0071315,1
Faye Dunaway,0001159,tt0071315,2
John Huston,0001379,tt0071315,3
Perry Lopez,0520164,tt0071315,4
John Hillerman,0384916,tt0071315,5
Darrell Zwerling,0959022,tt0071315,6
Diane Ladd,0002663,tt0071315,7
Roy Jenson,0421772,tt0071315,8
Roman Polanski,0000591,tt0071315,9
Richard Bakalyan,0048147,tt0071315,10
Clint Eastwood,0000142,tt0105695,1
Gene Hackman,0000432,tt0105695,2
Morgan Freeman,0000151,tt0105695,3
Richard Harris,0001321,tt0105695,4
Jaimz Woolvett,0941316,tt0105695,5
Saul Rubinek,0007210,tt0105695,6
Frances Fisher,0004920,tt0105695,7
Anna Thomson,0505764,tt0105695,8
David Mucci,0610820,tt0105695,9
Rob Campbell,0132808,tt0105695,10
Christian Bale,0000288,tt0372784,1
Michael Caine,0000323,tt0372784,2
Liam Neeson,0000553,tt0372784,3
Katie Holmes,0005017,tt0372784,4
Gary Oldman,0000198,tt0372784,5
Cillian Murphy,0614165,tt0372784,6
Tom Wilkinson,0929489,tt0372784,7
Rutger Hauer,0000442,tt0372784,8
Ken Watanabe,0913822,tt0372784,9
Mark Boone Junior,0095478,tt0372784,10
Graham Chapman,0001037,tt0071853,1
John Cleese,0000092,tt0071853,2
Eric Idle,0001385,tt0071853,3
Terry Gilliam,0000416,tt0071853,4
Terry Jones,0001402,tt0071853,5
Michael Palin,0001589,tt0071853,6
Connie Booth,0095665,tt0071853,7
Carol Cleveland,0166470,tt0071853,8
Neil Innes,0409183,tt0071853,9
Bee Duffell,0240436,tt0071853,10
Russell Crowe,0000128,tt0268978,1
Ed Harris,0000438,tt0268978,2
Jennifer Connelly,0000124,tt0268978,3
Christopher Plummer,0001626,tt0268978,4
Paul Bettany,0079273,tt0268978,5
Adam Goldberg,0004965,tt0268978,6
Josh Lucas,0524197,tt0268978,7
Anthony Rapp,0710829,tt0268978,8
Jason Gray-Stanford,0337020,tt0268978,9
Judd Hirsch,0002139,tt0268978,10
Al Pacino,0000199,tt0113277,1
Robert De Niro,0000134,tt0113277,2
Val Kilmer,0000174,tt0113277,3
Jon Voight,0000685,tt0113277,4
Tom Sizemore,0001744,tt0113277,5
Diane Venora,0893204,tt0113277,6
Amy Brenneman,0000312,tt0113277,7
Ashley Judd,0000171,tt0113277,8
Mykelti Williamson,0932112,tt0113277,9
Wes Studi,0836071,tt0113277,10
Noriko Hidaka,0383022,tt0096283,1
Chika Sakamoto,0757076,tt0096283,2
Shigesato Itoi,0411790,tt0096283,3
Sumi Shimamoto,0793585,tt0096283,4
Tanie Kitabayashi,0457498,tt0096283,5
Hitoshi Takagi,0847054,tt0096283,6
Yûko Maruyama,0555483,tt0096283,7
Machiko Washio,0913558,tt0096283,8
Reiko Suzuki,0840657,tt0096283,9
Masashi Hirose,0386405,tt0096283,10
Tatsuya Nakadai,0619938,tt0089881,1
Akira Terao,0855417,tt0089881,2
Jinpachi Nezu,0628704,tt0089881,3
Daisuke Ryû,0753480,tt0089881,4
Mieko Harada,7014801,tt0089881,5
Yoshiko Miyazaki,0594523,tt0089881,6
Hisashi Igawa,0407030,tt0089881,7
Pîtâ,0676201,tt0089881,8
Masayuki Yui,0950784,tt0089881,9
Kazuo Katô,0441366,tt0089881,10
Robert De Niro,0000134,tt0081398,1
Cathy Moriarty,0001550,tt0081398,2
Joe Pesci,0000582,tt0081398,3
Frank Vincent,0898634,tt0081398,4
Nicholas Colasanto,0170225,tt0081398,5
Theresa Saldana,0757854,tt0081398,6
Mario Gallo,0002869,tt0081398,7
Frank Adonis,0012376,tt0081398,8
Joseph Bono,0095114,tt0081398,9
Frank Topham,0867666,tt0081398,10
Daniel Day-Lewis,0000358,tt0469494,1
Martin Stringer,2872491,tt0469494,2
Matthew Braden Stringer,2872058,tt0469494,3
Jacob Stringer,2871845,tt0469494,4
Joseph Mussey,2872133,tt0469494,5
Barry Del Sherman,0215916,tt0469494,6
Harrison Taylor,2871955,tt0469494,7
Stockton Taylor,2871847,tt0469494,8
Paul F. Tompkins,0006670,tt0469494,9
Dillon Freasier,2827673,tt0469494,10
